scientific,xc_common,bn_code,bn_common,bn_mapping_in_xc_dataset,relationship,ibp_alpha
lagopus-muta,rockptarmigan,rocpta1,rockptarmigan,lagopus-muta,,ROPT
lagopus-leucura,whitetailedptarmigan,whtpta1,whitetailedptarmigan,lagopus-leucura,,WTPT
dendragapus-fuliginosus,sootygrouse,soogro1,sootygrouse,dendragapus-fuliginosus,,SOGR
tympanuchus-phasianellus,sharptailedgrouse,shtgro,sharptailedgrouse,tympanuchus-phasianellus,,STGR
tympanuchus-cupido,greaterprairiechicken,grpchi,greaterprairiechicken,tympanuchus-cupido,,GRPC
meleagris-gallopavo,wildturkey,wiltur,wildturkey,meleagris-gallopavo,,WITU
tachybaptus-dominicus,leastgrebe,leagre,leastgrebe,tachybaptus-dominicus,,LEGR
podilymbus-podiceps,piedbilledgrebe,pibgre,piedbilledgrebe,podilymbus-podiceps,,PBGR
podiceps-auritus,hornedgrebe,horgre,hornedgrebe,podiceps-auritus,,HOGR
podiceps-grisegena,redneckedgrebe,rengre,redneckedgrebe,podiceps-grisegena,,RNGR
podiceps-nigricollis,blackneckedgrebe,eargre,earedgrebe,podiceps-nigricollis,"Same species, different common name",EAGR
aechmophorus-occidentalis,westerngrebe,wesgre,westerngrebe,aechmophorus-occidentalis,,WEGR
columba-livia,rockdove,rocpig,rockpigeon,columba-livia,"Same species, different common name",ROPI
patagioenas-flavirostris,redbilledpigeon,rebpig1,redbilledpigeon,patagioenas-flavirostris,,RBPI
patagioenas-fasciata,bandtailedpigeon,batpig1,bandtailedpigeon,patagioenas-fasciata,,BTPI
streptopelia-decaocto,eurasiancollareddove,eucdov,eurasiancollareddove,streptopelia-decaocto,,EUCD
spilopelia-chinensis,spotteddove,spodove,spotteddove,spilopelia-chinensis,"Same species, different scientific name",
geopelia-striata,zebradove,zebdov,zebradove,geopelia-striata,,ZEBD
columbina-inca,incadove,incdov,incadove,columbina-inca,,INDO
columbina-passerina,commongrounddove,cogdov,commongrounddove,columbina-passerina,,COGD
leptotila-verreauxi,whitetippeddove,whtdov,whitetippeddove,leptotila-verreauxi,,WTDO
zenaida-asiatica,whitewingeddove,whwdov,whitewingeddove,zenaida-asiatica,,WWDO
zenaida-macroura,mourningdove,moudov,mourningdove,zenaida-macroura,,MODO
coccyzus-americanus,yellowbilledcuckoo,yebcuc,yellowbilledcuckoo,coccyzus-americanus,,YBCU
coccyzus-erythropthalmus,blackbilledcuckoo,bkbcuc,blackbilledcuckoo,coccyzus-erythropthalmus,,BBCU
geococcyx-californianus,greaterroadrunner,greroa,greaterroadrunner,geococcyx-californianus,,GRRO
crotophaga-sulcirostris,groovebilledani,grbani,groovebilledani,crotophaga-sulcirostris,,GBAN
chordeiles-acutipennis,lessernighthawk,lesnig,lessernighthawk,chordeiles-acutipennis,,LENI
chordeiles-minor,commonnighthawk,comnig,commonnighthawk,chordeiles-minor,,CONI
nyctidromus-albicollis,pauraque,compau,commonpauraque,nyctidromus-albicollis,"Same species, different common name",COPA
phalaenoptilus-nuttallii,commonpoorwill,compoo,commonpoorwill,phalaenoptilus-nuttallii,,COPO
antrostomus-carolinensis,chuckwillswidow,chwwid,chuckwillswidow,antrostomus-carolinensis,,CWWI
antrostomus-vociferus,easternwhippoorwill,whip-p1,easternwhippoorwill,antrostomus-vociferus,,EWPW
antrostomus-arizonae,mexicanwhippoorwill,souwpw1,mexicanwhippoorwill,antrostomus-arizonae,,MWPW
eugenes-fulgens,rivolishummingbird,maghum1,rivolishummingbird,eugenes-fulgens,,RIHU
lampornis-clemenciae,bluethroatedmountaingem,buthum,bluethroatedhummingbird,lampornis-clemenciae,"Same species, different common name",BTHH
calypte-anna,annashummingbird,annhum,annashummingbird,calypte-anna,,ANHU
selasphorus-platycercus,broadtailedhummingbird,brthum,broadtailedhummingbird,selasphorus-platycercus,,BTAH
selasphorus-rufus,rufoushummingbird,rufhum,rufoushummingbird,selasphorus-rufus,,RUHU
amazilia-violiceps,violetcrownedhummingbird,vichum,violetcrownedhummingbird,amazilia-violiceps,,VCHU
laterallus-jamaicensis,blackrail,blkrai,blackrail,laterallus-jamaicensis,,BLRA
rallus-obsoletus,ridgwaysrail,ridrai1,ridgwaysrail,rallus-obsoletus,,RIRA
rallus-elegans,kingrail,kinrai4,kingrail,rallus-elegans,,KIRA
rallus-limicola,virginiarail,virrai,virginiarail,rallus-limicola,,VIRA
porzana-carolina,sora,sora,sora,porzana-carolina,,SORA
porphyrio-martinica,purplegallinule,purgal2,purplegallinule,porphyrio-martinica,,
gallinula-galeata,commongallinule,comgal1,commongallinule,gallinula-galeata,,COGA
fulica-americana,americancoot,y00475,americancoot,fulica-americana,,AMCO
aramus-guarauna,limpkin,limpki,limpkin,aramus-guarauna,,LIMP
antigone-canadensis,sandhillcrane,sancra,sandhillcrane,antigone-canadensis,,SACR
himantopus-mexicanus,blackneckedstilt,bknsti,blackneckedstilt,himantopus-mexicanus,,BNST
recurvirostra-americana,americanavocet,ameavo,americanavocet,recurvirostra-americana,,AMAV
pluvialis-squatarola,grayplover,bkbplo,blackbelliedplover,pluvialis-squatarola,"Same species, different common name",BBPL
pluvialis-dominica,americangoldenplover,amgplo,americangoldenplover,pluvialis-dominica,,AMGP
charadrius-semipalmatus,semipalmatedplover,semplo,semipalmatedplover,charadrius-semipalmatus,,SEPL
charadrius-vociferus,killdeer,killde,killdeer,charadrius-vociferus,,KILL
bartramia-longicauda,uplandsandpiper,uplsan,uplandsandpiper,bartramia-longicauda,,UPSA
numenius-phaeopus,whimbrel,whimbr,whimbrel,numenius-phaeopus,,WHIM
numenius-americanus,longbilledcurlew,lobcur,longbilledcurlew,numenius-americanus,,LBCU
limosa-fedoa,marbledgodwit,margod,marbledgodwit,limosa-fedoa,,MAGO
arenaria-interpres,ruddyturnstone,rudtur,ruddyturnstone,arenaria-interpres,,RUTU
calidris-canutus,redknot,redkno,redknot,calidris-canutus,,REKN
calidris-himantopus,stiltsandpiper,stisan,stiltsandpiper,calidris-himantopus,,STSA
calidris-alba,sanderling,sander,sanderling,calidris-alba,,SAND
calidris-alpina,dunlin,dunlin,dunlin,calidris-alpina,,DUNL
calidris-maritima,purplesandpiper,pursan,purplesandpiper,calidris-maritima,,PUSA
calidris-bairdii,bairdssandpiper,baisan,bairdssandpiper,calidris-bairdii,,BASA
calidris-minutilla,leastsandpiper,leasan,leastsandpiper,calidris-minutilla,,LESA
calidris-fuscicollis,whiterumpedsandpiper,whrsan,whiterumpedsandpiper,calidris-fuscicollis,,WRSA
calidris-melanotos,pectoralsandpiper,pecsan,pectoralsandpiper,calidris-melanotos,,PESA
calidris-pusilla,semipalmatedsandpiper,semsan,semipalmatedsandpiper,calidris-pusilla,,SESA
limnodromus-scolopaceus,longbilleddowitcher,lobdow,longbilleddowitcher,limnodromus-scolopaceus,,LBDO
scolopax-minor,americanwoodcock,amewoo,americanwoodcock,scolopax-minor,,AMWO
gallinago-delicata,wilsonssnipe,wilsni1,wilsonssnipe,gallinago-delicata,,WISN
actitis-macularius,spottedsandpiper,sposan,spottedsandpiper,actitis-macularius,,SPSA
tringa-solitaria,solitarysandpiper,solsan,solitarysandpiper,tringa-solitaria,,SOSA
tringa-flavipes,lesseryellowlegs,lesyel,lesseryellowlegs,tringa-flavipes,,LEYE
tringa-semipalmata,willet,willet1,willet,tringa-semipalmata,,WILL
tringa-melanoleuca,greateryellowlegs,greyel,greateryellowlegs,tringa-melanoleuca,,GRYE
tringa-glareola,woodsandpiper,woosan,woodsandpiper,tringa-glareola,,WOSA
phalaropus-lobatus,redneckedphalarope,renpha,redneckedphalarope,phalaropus-lobatus,,RNPH
phalaropus-fulicarius,redphalarope,redpha1,redphalarope,phalaropus-fulicarius,,REPH
stercorarius-parasiticus,parasiticjaeger,parjae,parasiticjaeger,stercorarius-parasiticus,,PAJA
stercorarius-longicaudus,longtailedjaeger,lotjae,longtailedjaeger,stercorarius-longicaudus,,LTJA
uria-aalge,commonmurre,commur,commonmurre,uria-aalge,,COMU
